2020-02-15	0
2020-02-16	0
2020-02-17	0
2020-02-18	0
2020-02-19	0
2020-02-20	0
2020-02-21	0
2020-02-22	0
2020-02-23	0
2020-02-24	0
2020-02-25	0
2020-02-26	0
2020-02-27	0
2020-02-28	0
2020-02-29	2
2020-03-01	1
2020-03-02	1
2020-03-03	0
2020-03-04	0
2020-03-05	0
2020-03-06	0
2020-03-07	0
2020-03-08	1
2020-03-09	0
2020-03-10	0
2020-03-11	4
2020-03-12	1
2020-03-13	3
2020-03-14	11
2020-03-15	17
2020-03-16	10
2020-03-17	29
2020-03-18	11
2020-03-19	25
2020-03-20	46
2020-03-21	39
2020-03-22	48
2020-03-23	65
2020-03-24	51
2020-03-25	38
2020-03-26	70
2020-03-27	110
2020-03-28	132
2020-03-29	131
2020-03-30	145
2020-03-31	101
2020-04-01	121
2020-04-02	163
2020-04-03	132
2020-04-04	178
2020-04-05	202
2020-04-06	253
2020-04-07	296
2020-04-08	346
2020-04-09	396
2020-04-10	260
2020-04-11	403
2020-04-12	375
2020-04-13	442
2020-04-14	353
2020-04-15	385
2020-04-16	448
2020-04-17	450
2020-04-18	578
2020-04-19	622
2020-04-20	764
2020-04-21	511
2020-04-22	729
2020-04-23	1043
2020-04-24	1089
2020-04-25	1239
2020-04-26	970
2020-04-27	835
2020-04-28	852
2020-04-29	1223
2020-04-30	1047
2020-05-01	1425
2020-05-02	1515
2020-05-03	1349
2020-05-04	1383
2020-05-05	1434
2020-05-06	1120
2020-05-07	1609
2020-05-08	1982
2020-05-09	1906
2020-05-10	1938
2020-05-11	1562
2020-05-12	1305
2020-05-13	1997
2020-05-14	1862
2020-05-15	2409
2020-05-16	2437
2020-05-17	2112
2020-05-18	2075
2020-05-19	2414
2020-05-20	2713
2020-05-21	2248
2020-05-22	2973
2020-05-23	2960
2020-05-24	3329
2020-05-25	2764
2020-05-26	2485
2020-05-27	3455
2020-05-28	3463
2020-05-29	3377
2020-05-30	3227
2020-05-31	2885
2020-06-01	3152
2020-06-02	2771
2020-06-03	3891
2020-06-04	3912
2020-06-05	4442
2020-06-06	4346
2020-06-07	3593
2020-06-08	3484
2020-06-09	2999
2020-06-10	4199
2020-06-11	4883
2020-06-12	4790
2020-06-13	5222
2020-06-14	3494
2020-06-15	4147
2020-06-16	3427
2020-06-17	4599
2020-06-18	4930
2020-06-19	5662
2020-06-20	5030
2020-06-21	4717
2020-06-22	5343
2020-06-23	4577
2020-06-24	6288
2020-06-25	5437
2020-06-26	6104
2020-06-27	5441
2020-06-28	4410
2020-06-29	4050
2020-06-30	3805
2020-07-01	5432
2020-07-02	5681
2020-07-03	6741
