Date	Week since Feb-21st	Weekly New Deaths
2020-02-21	0	1
2020-02-28	1	20
2020-03-06	2	176
2020-03-13	3	1069
2020-03-20	4	2760
2020-03-27	5	5094
2020-04-03	6	5539
2020-04-10	7	4161
2020-04-17	8	3878
2020-04-24	9	3217
2020-05-01	10	2262
2020-05-08	11	1963
2020-05-15	12	1409
2020-05-22	13	1006
2020-05-29	14	613
2020-06-05	15	545
2020-06-12	16	449
2020-06-19	17	338
2020-06-26	18	208
2020-07-03	19	125
